rank,word,frequency,dispersion
2118,mimar,2785,0.82
2207,düşüş,2777,0.77
1967,tüken,2776,0.92
2055,parla,2774,0.87
1980,liman,2744,0.92
2022,bulaş,2736,0.9
2101,direk,2729,0.85
2075,kırık,2701,0.87
2061,simge,2699,0.89
2096,iptal,2690,0.86
2081,selam,2673,0.88
2221,senet,2655,0.8
2516,borsa,2655,0.66
2174,sevda,2644,0.83
2850,beton,2633,0.54
2237,fırın,2625,0.8
2026,şüphe,2624,0.94
2263,metal,2619,0.79
2058,sahil,2617,0.92
2189,yılan,2617,0.83
2083,kılıç,2614,0.9
2124,acele,2595,0.87
2195,surat,2592,0.83
2057,havuz,2585,0.93
2157,katil,2579,0.86
2082,dilek,2574,0.91
2148,bilet,2571,0.86
2130,coşku,2569,0.87
2175,fıkra,2563,0.85
2368,verim,2561,0.75
2200,bayıl,2552,0.84
2193,düğme,2532,0.85
2100,fakir,2519,0.92
2198,tavuk,2515,0.86
2284,süper,2513,0.81
2144,sıfat,2503,0.89
2617,virüs,2502,0.66
2289,herif,2499,0.81
2390,yakıt,2496,0.76
2203,pembe,2480,0.87
2418,sebze,2476,0.76
2145,yahut,2473,0.9
2146,aldat,2470,0.9
2328,sanık,2459,0.81
2164,kuşat,2448,0.9
2132,hatır,2446,0.92
2257,ceset,2431,0.85
2210,durak,2420,0.88
2156,duruş,2393,0.92
2340,yanak,2393,0.82
2219,kömür,2384,0.89
2947,diyet,2373,0.56
2251,becer,2363,0.88
2300,telaş,2353,0.86
2313,dolap,2342,0.86
2917,soğan,2342,0.58
2821,hakem,2332,0.62
2299,divan,2329,0.87
2281,köken,2323,0.88
2243,maruz,2318,0.9
2233,ikili,2314,0.91
3485,final,2314,0.42
2290,banyo,2307,0.88
2260,sıçra,2305,0.9
2261,yemin,2305,0.9
2406,video,2301,0.82
2231,sahte,2294,0.92
2228,doğuş,2292,0.92
2280,çarşı,2288,0.9
2292,sıyır,2272,0.89
2220,ötürü,2269,0.94
2395,eksen,2269,0.84
2321,kabar,2262,0.88
2240,bozuk,2261,0.93
2238,hitap,2259,0.93
2372,kürsü,2258,0.85
2316,moral,2255,0.89
2525,hacim,2248,0.78
2405,özgün,2243,0.84
2323,vurgu,2234,0.89
2350,beyan,2229,0.88
2286,gayrı,2226,0.92
2314,dışla,2220,0.9
2315,maden,2214,0.91
2332,tavan,2212,0.89
2506,işsiz,2206,0.8
2394,baraj,2191,0.87
2329,yarın,2191,0.91
2381,gümüş,2190,0.88
2375,komik,2181,0.88
2404,esnaf,2178,0.87
2325,kuruş,2172,0.91
2689,kesit,2143,0.73
2353,kaçak,2133,0.91
2435,zehir,2123,0.87
2496,çukur,2123,0.84
2385,kirli,2119,0.9
2493,soyut,2118,0.84
2597,tokat,2116,0.78
2570,ihlal,2113,0.8
2388,içten,2106,0.91
2510,üslup,2106,0.84
2439,yücel,2101,0.88
2521,vapur,2098,0.84
2420,affet,2092,0.89
2413,kumaş,2089,0.9
2419,dayak,2086,0.9
2529,ajans,2085,0.84
2453,torba,2080,0.88
2383,pamuk,2077,0.92
2681,tesir,2072,0.76
2489,konak,2071,0.86
2429,gözet,2066,0.9
2514,giyim,2061,0.85
2845,ölçüm,2053,0.69
2482,saçma,2051,0.88
2445,şahit,2049,0.89
2409,yüklü,2047,0.92
2566,emret,2036,0.83
2487,meğer,2031,0.88
2608,metot,2019,0.82
2494,madem,2007,0.89
2471,kanlı,1998,0.9
2627,stres,1983,0.82
2585,aptal,1983,0.84
2560,desen,1974,0.86
2644,erdem,1966,0.82
2500,masum,1966,0.9
2630,minik,1965,0.83
2643,nöbet,1952,0.83
2596,lamba,1951,0.85
2490,ipucu,1931,0.93
2893,bekçi,1931,0.71
2561,seyir,1924,0.89
2557,fetih,1921,0.89
2543,çamur,1906,0.91
2555,sadık,1905,0.9
2586,kaset,1904,0.88
2580,karış,1902,0.88
3249,kiraz,1890,0.58
2638,prens,1889,0.86
2613,aktör,1886,0.87
2625,ırmak,1882,0.87
2695,nimet,1876,0.83
2633,evrim,1875,0.87
2618,göbek,1870,0.88
3054,figür,1868,0.67
2758,çoban,1864,0.8
2696,vekil,1861,0.84
2600,şapka,1854,0.89
2626,çadır,1846,0.88
2688,yasla,1842,0.85
2609,posta,1829,0.9
2752,kadeh,1825,0.83
2623,yanaş,1820,0.9
2792,pilot,1819,0.8
2632,yedek,1818,0.89
